Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,Expected Joining Score (1-1000)
Pune,5,High,Project Manager,Entry-Level,12,1906107,1188140,Bachelor's Degree,"Python, SQL, ML",Google Cloud Certified,3,10,Night,No,Offline,HCL,Retail,Neutral,3,Low,2558714,24780,Average,Senior-Level,Team Lead,Delhi,No,Health Insurance,Moderate,Weak,Moderate,2024-12-26 14:11:33.008200,Clear,355.29046666666665
Delhi,22,High,Data Scientist,Mid-Level,3,977160,2369710,Diploma,"Java, Spring Boot",Google Cloud Certified,49,3,Flexible,Yes,Remote,Accenture,IT Services,Positive,6,Moderate,2450181,47905,Average,Mid-Level,Developer,Kolkata,Yes,Stock Options,Moderate,Stable,High,2024-12-30 14:11:33.008200,Clear,207.67270000000002
Hyderabad,36,Medium,Data Scientist,Senior-Level,11,619972,2421770,Diploma,"Python, SQL, ML",Scrum Master,81,10,Flexible,Yes,Offline,Accenture,Consulting,Positive,4,Moderate,1196266,424789,Average,Lead,Data Analyst,Hyderabad,Yes,Stock Options,Limited,Strong,Low,2025-01-10 14:11:33.008200,Clear,147.87553333333335
Delhi,15,Medium,Project Manager,Senior-Level,10,1610292,931972,Bachelor's Degree,"Python, SQL, ML",Scrum Master,4,1,Night,Yes,Offline,Cognizant,Banking,Neutral,7,Moderate,1134769,126049,Above Average,Entry-Level,Data Analyst,Pune,Yes,Health Insurance,Excellent,Strong,High,2025-01-19 14:11:33.008200,Ambiguous,257.82563333333337
Kolkata,25,Medium,Consultant,Entry-Level,5,1749031,1539664,PhD,"Java, Spring Boot",AWS Certified,19,3,Night,No,Offline,Infosys,IT Services,Neutral,3,High,431568,139651,Above Average,Mid-Level,Team Lead,Munger,Yes,Stock Options,Moderate,Stable,High,2024-12-25 14:11:33.008200,Clear,134.3856
Chennai,30,Low,Project Manager,Senior-Level,5,568854,794423,Master's Degree,"Java, Spring Boot",PMP,86,0,Flexible,No,Hybrid,TCS,Consulting,Negative,5,Low,1197278,43359,Below Average,Lead,Developer,Munger,Yes,Stock Options,Moderate,Strong,Moderate,2024-12-10 14:11:33.008200,Clear,189.90926666666667
Madanapalle,29,Medium,Consultant,Mid-Level,14,714600,2018963,Master's Degree,"AWS, Docker, Kubernetes",PMP,74,1,Flexible,No,Remote,Infosys,Banking,Positive,3,High,1061259,338206,Average,Senior-Level,Data Analyst,Mumbai,No,Stock Options,Moderate,Weak,High,2025-01-08 14:11:33.008200,Ambiguous,257.37530000000004
Madanapalle,26,Medium,Data Scientist,Mid-Level,6,471918,990381,Bachelor's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,36,12,Night,Yes,Remote,Accenture,IT Services,Positive,1,Low,1010326,83391,Below Average,Lead,Team Lead,Delhi,Yes,Flexible Hours,Limited,Weak,Moderate,2024-12-08 14:11:33.008200,Ambiguous,81.67753333333334
Pune,31,Medium,Software Engineer,Entry-Level,8,519055,1609337,Diploma,"Java, Spring Boot",AWS Certified,21,7,Day,No,Hybrid,TCS,IT Services,Positive,0,Moderate,1645749,315607,Above Average,Entry-Level,Data Analyst,Delhi,No,Flexible Hours,Excellent,Weak,High,2024-12-19 14:11:33.008200,Ambiguous,312.8583
Chennai,17,High,Data Scientist,Mid-Level,10,1648711,1939600,Diploma,"JavaScript, React",PMP,57,5,Night,No,Remote,Infosys,Banking,Positive,0,Low,1356277,109596,Above Average,Mid-Level,Team Lead,Hyderabad,No,Stock Options,Limited,Stable,High,2025-01-20 14:11:33.008200,Ambiguous,301.2092333333333
Mumbai,37,High,Data Scientist,Lead,6,1034417,1289497,PhD,"AWS, Docker, Kubernetes",AWS Certified,67,1,Flexible,No,Offline,HCL,IT Services,Negative,7,Low,2626941,257414,Above Average,Lead,Team Lead,Pune,Yes,Health Insurance,Moderate,Weak,High,2025-01-05 14:11:33.008200,Ambiguous,143.56470000000002
Munger,38,Low,Analyst,Entry-Level,12,1330697,438635,Master's Degree,"JavaScript, React",AWS Certified,43,11,Night,No,Remote,Cognizant,Healthcare,Neutral,3,Low,1818180,367162,Below Average,Entry-Level,Manager,Delhi,No,Stock Options,Excellent,Weak,High,2025-01-09 14:11:33.008200,Clear,304.606
Darbhanga,45,Low,Analyst,Mid-Level,1,1748763,1543647,PhD,"Java, Spring Boot",Google Cloud Certified,33,14,Day,Yes,Hybrid,Infosys,Banking,Neutral,4,High,901994,288715,Above Average,Lead,Manager,Madanapalle,Yes,Stock Options,Limited,Stable,High,2025-01-05 14:11:33.008200,Clear,80.06646666666667
Madanapalle,39,High,Analyst,Entry-Level,8,722355,1816953,Master's Degree,"AWS, Docker, Kubernetes",AWS Certified,76,5,Night,No,Offline,Infosys,IT Services,Positive,7,Low,474723,160214,Average,Lead,Developer,Kolkata,Yes,Flexible Hours,Moderate,Weak,High,2024-12-30 14:11:33.008200,Ambiguous,67.8241
Bangalore,5,High,Analyst,Senior-Level,8,1171877,1290083,Bachelor's Degree,"Python, SQL, ML",Scrum Master,41,9,Flexible,No,Hybrid,HCL,Consulting,Positive,6,Low,2438842,297248,Below Average,Mid-Level,Manager,Madanapalle,No,Flexible Hours,Moderate,Weak,Moderate,2025-01-23 14:11:33.008200,Ambiguous,351.29473333333334
Madanapalle,25,High,Consultant,Mid-Level,9,1556715,821280,Master's Degree,"Java, Spring Boot",Scrum Master,8,8,Night,Yes,Offline,Accenture,Consulting,Positive,7,Low,2863490,18625,Above Average,Senior-Level,Team Lead,Darbhanga,Yes,Flexible Hours,Limited,Strong,Moderate,2025-01-19 14:11:33.008200,Ambiguous,225.44966666666667
Delhi,10,Medium,Project Manager,Lead,9,380257,1309245,PhD,"C++, Algorithms",None,6,6,Flexible,Yes,Offline,Cognizant,Healthcare,Negative,7,High,2276624,311343,Below Average,Senior-Level,Data Analyst,Kolkata,Yes,Stock Options,Moderate,Stable,Low,2025-01-08 14:11:33.008200,Ambiguous,225.88746666666668
Madanapalle,32,Medium,Software Engineer,Mid-Level,2,1826534,741207,PhD,"JavaScript, React",Google Cloud Certified,67,8,Flexible,No,Remote,Infosys,Banking,Negative,5,High,1933017,392869,Below Average,Entry-Level,Data Analyst,Bangalore,No,Stock Options,Moderate,Weak,High,2025-01-16 14:11:33.008200,Clear,280.4339
Madanapalle,21,High,Data Scientist,Entry-Level,2,1124143,1630746,PhD,"Java, Spring Boot",None,18,4,Night,Yes,Offline,TCS,IT Services,Neutral,9,High,1192515,419142,Above Average,Entry-Level,Developer,Kolkata,No,Health Insurance,Excellent,Weak,Moderate,2025-01-24 14:11:33.008200,Clear,317.7505
Munger,9,Medium,Consultant,Entry-Level,3,1355106,992632,Bachelor's Degree,"Java, Spring Boot",Scrum Master,30,6,Flexible,No,Hybrid,Infosys,IT Services,Positive,1,Low,2116534,303362,Above Average,Entry-Level,Manager,Kolkata,No,Stock Options,Moderate,Weak,High,2024-12-16 14:11:33.008200,Ambiguous,332.5511333333333
Munger,35,Medium,Software Engineer,Mid-Level,1,1621836,960881,Master's Degree,"AWS, Docker, Kubernetes",None,34,10,Flexible,Yes,Remote,Cognizant,Consulting,Positive,5,Moderate,1793196,185544,Below Average,Mid-Level,Developer,Hyderabad,No,Stock Options,Limited,Weak,High,2024-12-24 14:11:33.008200,Ambiguous,239.7732
Hyderabad,9,Low,Consultant,Lead,4,1938658,960592,Master's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,56,14,Day,Yes,Hybrid,Infosys,Healthcare,Positive,0,Moderate,1435211,364060,Below Average,Senior-Level,Team Lead,Madanapalle,No,Flexible Hours,Excellent,Strong,Moderate,2024-12-25 14:11:33.008200,Ambiguous,429.8403666666667
Mumbai,42,High,Consultant,Lead,14,1217786,1872178,PhD,"AWS, Docker, Kubernetes",Google Cloud Certified,84,13,Day,No,Offline,HCL,Consulting,Positive,0,Moderate,2589568,133182,Above Average,Entry-Level,Manager,Pune,No,Flexible Hours,Limited,Strong,High,2024-12-13 14:11:33.008200,Ambiguous,332.31893333333335
Bangalore,7,High,Data Scientist,Lead,4,510545,1562189,Master's Degree,"C++, Algorithms",AWS Certified,60,6,Day,Yes,Hybrid,Infosys,Consulting,Negative,2,Low,1047122,30566,Average,Entry-Level,Developer,Mumbai,Yes,Flexible Hours,Moderate,Strong,Moderate,2024-12-25 14:11:33.008200,Clear,230.90406666666667
Madanapalle,27,Medium,Project Manager,Entry-Level,14,828423,1936081,Diploma,"AWS, Docker, Kubernetes",PMP,30,11,Day,No,Hybrid,Infosys,Healthcare,Neutral,2,Moderate,2161331,459341,Below Average,Lead,Data Analyst,Hyderabad,Yes,Flexible Hours,Excellent,Strong,Moderate,2024-12-30 14:11:33.008200,Ambiguous,268.04436666666663
Madanapalle,41,High,Analyst,Mid-Level,9,1224133,814299,Diploma,"Java, Spring Boot",AWS Certified,82,11,Flexible,Yes,Offline,TCS,Banking,Neutral,4,Moderate,2277329,43205,Below Average,Lead,Data Analyst,Kolkata,Yes,Flexible Hours,Excellent,Stable,Low,2024-12-21 14:11:33.008200,Ambiguous,203.91096666666667
Darbhanga,41,Low,Project Manager,Senior-Level,9,671616,1991218,Diploma,"AWS, Docker, Kubernetes",Google Cloud Certified,52,2,Night,No,Remote,HCL,IT Services,Negative,0,Moderate,715315,119084,Average,Entry-Level,Developer,Mumbai,No,Health Insurance,Excellent,Weak,Low,2025-01-16 14:11:33.008200,Clear,261.84383333333335
Munger,14,Low,Data Scientist,Entry-Level,9,1826912,1631619,Master's Degree,"Python, SQL, ML",Scrum Master,31,6,Flexible,Yes,Hybrid,HCL,Banking,Positive,9,Low,550594,39717,Above Average,Lead,Developer,Chennai,Yes,Health Insurance,Excellent,Strong,Low,2025-01-17 14:11:33.008200,Ambiguous,240.35313333333335
Bangalore,14,Low,Data Scientist,Lead,10,1075158,1599151,Bachelor's Degree,"AWS, Docker, Kubernetes",Scrum Master,65,0,Flexible,Yes,Offline,Infosys,Retail,Neutral,5,Moderate,1120892,191056,Above Average,Lead,Developer,Mumbai,No,Health Insurance,Limited,Weak,Low,2024-12-29 14:11:33.008200,Clear,259.36306666666667
Pune,23,High,Data Scientist,Mid-Level,7,913375,525438,Bachelor's Degree,"C++, Algorithms",AWS Certified,58,8,Flexible,Yes,Remote,TCS,Retail,Neutral,6,Moderate,2982128,379436,Average,Lead,Team Lead,Munger,Yes,Flexible Hours,Moderate,Stable,High,2024-12-10 14:11:33.008200,Ambiguous,223.40426666666667
Hyderabad,21,High,Software Engineer,Lead,14,1216383,2317043,Bachelor's Degree,"Python, SQL, ML",Google Cloud Certified,9,9,Night,Yes,Remote,Infosys,Retail,Negative,9,Low,1482121,428351,Above Average,Mid-Level,Team Lead,Hyderabad,No,Flexible Hours,Moderate,Weak,High,2025-01-13 14:11:33.008200,Ambiguous,287.40403333333336
Mumbai,25,High,Project Manager,Senior-Level,2,579215,1422892,Bachelor's Degree,"Java, Spring Boot",Scrum Master,1,12,Day,Yes,Remote,Infosys,Healthcare,Positive,2,High,585151,169236,Above Average,Entry-Level,Data Analyst,Hyderabad,Yes,Flexible Hours,Excellent,Weak,Low,2024-12-10 14:11:33.008200,Clear,139.50503333333333
Chennai,18,High,Project Manager,Lead,10,1368650,1641968,Diploma,"Java, Spring Boot",Google Cloud Certified,65,5,Flexible,No,Hybrid,Cognizant,Consulting,Neutral,3,Moderate,2532942,477705,Below Average,Entry-Level,Team Lead,Munger,No,Health Insurance,Moderate,Strong,Moderate,2024-12-11 14:11:33.008200,Ambiguous,408.4314
Mumbai,13,High,Consultant,Lead,5,1046084,1035719,Diploma,"JavaScript, React",Scrum Master,59,4,Flexible,Yes,Hybrid,Cognizant,Banking,Positive,9,High,2614979,310706,Below Average,Lead,Team Lead,Chennai,No,Flexible Hours,Limited,Strong,Moderate,2025-01-16 14:11:33.008200,Clear,391.1659666666667
Delhi,5,Low,Consultant,Senior-Level,4,1940707,2013374,PhD,"Python, SQL, ML",Google Cloud Certified,87,6,Day,No,Hybrid,TCS,IT Services,Neutral,9,Moderate,596211,472326,Below Average,Mid-Level,Manager,Delhi,No,Health Insurance,Moderate,Stable,Moderate,2025-01-19 14:11:33.008200,Clear,329.8737
Madanapalle,49,Medium,Consultant,Mid-Level,12,1388477,1208258,Master's Degree,"JavaScript, React",None,16,4,Flexible,No,Remote,Accenture,Retail,Negative,9,Low,2236082,30169,Average,Lead,Team Lead,Delhi,No,Flexible Hours,Limited,Weak,Moderate,2024-12-29 14:11:33.008200,Clear,226.53606666666667
Hyderabad,17,Low,Data Scientist,Entry-Level,11,573349,730170,Master's Degree,"Python, SQL, ML",Google Cloud Certified,15,9,Night,No,Hybrid,Cognizant,Banking,Positive,9,High,2933044,463074,Above Average,Mid-Level,Manager,Delhi,Yes,Stock Options,Limited,Strong,High,2025-01-15 14:11:33.008200,Ambiguous,243.76813333333334
Delhi,8,High,Project Manager,Mid-Level,8,695807,581948,Bachelor's Degree,"Python, SQL, ML",Google Cloud Certified,15,4,Flexible,Yes,Offline,Accenture,Retail,Negative,9,High,2637699,293748,Above Average,Entry-Level,Team Lead,Delhi,Yes,Health Insurance,Moderate,Strong,Moderate,2025-01-12 14:11:33.008200,Ambiguous,281.9233
Bangalore,5,Low,Data Scientist,Senior-Level,2,1935851,1606751,Diploma,"C++, Algorithms",AWS Certified,45,10,Flexible,No,Hybrid,HCL,Retail,Neutral,2,High,546192,361814,Below Average,Lead,Data Analyst,Madanapalle,No,Stock Options,Limited,Strong,Moderate,2024-12-17 14:11:33.008200,Clear,338.20640000000003
Chennai,44,High,Software Engineer,Lead,6,1691405,1353692,Bachelor's Degree,"JavaScript, React",None,38,9,Day,Yes,Hybrid,Cognizant,IT Services,Negative,0,High,664130,386749,Below Average,Entry-Level,Developer,Munger,No,Health Insurance,Limited,Stable,Low,2024-12-17 14:11:33.008200,Ambiguous,224.13766666666666
Munger,36,High,Consultant,Mid-Level,13,1721174,1585493,PhD,"C++, Algorithms",PMP,30,10,Flexible,No,Remote,Cognizant,Healthcare,Negative,7,Moderate,2213065,360882,Average,Mid-Level,Data Analyst,Chennai,No,Flexible Hours,Limited,Weak,Moderate,2024-12-19 14:11:33.008200,Ambiguous,251.76883333333333
Hyderabad,38,Low,Data Scientist,Entry-Level,5,1716207,617770,Master's Degree,"Python, SQL, ML",AWS Certified,87,6,Flexible,No,Hybrid,TCS,Consulting,Negative,9,Moderate,1162857,403900,Above Average,Senior-Level,Team Lead,Kolkata,Yes,Flexible Hours,Limited,Strong,High,2024-12-20 14:11:33.008200,Ambiguous,142.7619
Hyderabad,32,High,Data Scientist,Senior-Level,12,878688,1042613,Master's Degree,"Java, Spring Boot",PMP,0,9,Night,No,Offline,Accenture,Healthcare,Neutral,9,High,792977,138140,Average,Mid-Level,Developer,Darbhanga,No,Stock Options,Excellent,Weak,Moderate,2024-12-14 14:11:33.008200,Clear,282.4325666666667
Madanapalle,35,Medium,Software Engineer,Mid-Level,2,1504798,1761871,Bachelor's Degree,"Python, SQL, ML",Scrum Master,10,14,Day,No,Remote,Cognizant,Banking,Positive,1,Moderate,1712896,112537,Above Average,Senior-Level,Developer,Hyderabad,No,Flexible Hours,Moderate,Stable,Moderate,2024-12-31 14:11:33.008200,Clear,307.09653333333335
Kolkata,12,High,Analyst,Entry-Level,11,331852,2383691,PhD,"C++, Algorithms",PMP,84,6,Day,No,Offline,Cognizant,Healthcare,Negative,0,High,1008546,256337,Average,Entry-Level,Developer,Mumbai,Yes,Health Insurance,Excellent,Weak,High,2024-12-24 14:11:33.008200,Ambiguous,179.6182
Hyderabad,43,Medium,Project Manager,Senior-Level,10,1260374,2115880,Master's Degree,"JavaScript, React",Google Cloud Certified,3,12,Night,Yes,Remote,TCS,Banking,Positive,7,High,777332,121301,Below Average,Entry-Level,Manager,Delhi,No,Flexible Hours,Limited,Strong,Low,2025-01-19 14:11:33.008200,Clear,269.91106666666667
Darbhanga,30,Medium,Analyst,Entry-Level,1,1861588,2287895,PhD,"JavaScript, React",PMP,70,10,Flexible,No,Remote,TCS,Banking,Neutral,6,Low,484153,280151,Average,Lead,Data Analyst,Mumbai,No,Flexible Hours,Moderate,Weak,High,2025-01-19 14:11:33.008200,Ambiguous,236.13843333333332
Chennai,38,High,Consultant,Senior-Level,8,677501,1507229,PhD,"C++, Algorithms",AWS Certified,25,14,Day,No,Hybrid,Accenture,Consulting,Positive,6,High,2165854,387059,Average,Senior-Level,Manager,Darbhanga,Yes,Health Insurance,Limited,Weak,Low,2024-12-24 14:11:33.008200,Ambiguous,96.19513333333333
Chennai,7,Low,Data Scientist,Lead,2,1991916,2190008,Bachelor's Degree,"JavaScript, React",AWS Certified,49,2,Day,Yes,Offline,HCL,IT Services,Negative,3,Moderate,1183930,241704,Below Average,Mid-Level,Developer,Hyderabad,No,Stock Options,Moderate,Stable,Moderate,2024-12-16 14:11:33.008200,Ambiguous,345.46433333333334
Darbhanga,16,Medium,Software Engineer,Mid-Level,7,1405057,2226525,Diploma,"AWS, Docker, Kubernetes",PMP,11,2,Flexible,Yes,Remote,HCL,Consulting,Negative,8,High,2917483,127419,Above Average,Entry-Level,Data Analyst,Bangalore,No,Stock Options,Excellent,Stable,Low,2024-12-13 14:11:33.008200,Clear,425.24943333333334
Pune,5,Low,Software Engineer,Entry-Level,9,333691,718766,Bachelor's Degree,"Java, Spring Boot",AWS Certified,80,9,Flexible,Yes,Hybrid,Infosys,Healthcare,Negative,5,Low,1158272,313931,Above Average,Senior-Level,Data Analyst,Pune,Yes,Flexible Hours,Moderate,Weak,Low,2025-01-25 14:11:33.008200,Clear,158.60906666666665
Darbhanga,48,Medium,Project Manager,Senior-Level,9,694341,1738530,Diploma,"Java, Spring Boot",AWS Certified,74,11,Day,No,Remote,Cognizant,Banking,Negative,1,Moderate,1526018,321726,Below Average,Mid-Level,Team Lead,Chennai,No,Health Insurance,Limited,Weak,Low,2025-01-19 14:11:33.008200,Ambiguous,204.86726666666667
Darbhanga,9,High,Analyst,Entry-Level,8,1546713,2357233,PhD,"Java, Spring Boot",PMP,64,12,Flexible,No,Remote,Accenture,Retail,Negative,0,Low,2372690,215863,Average,Senior-Level,Manager,Madanapalle,Yes,Stock Options,Moderate,Weak,Moderate,2024-12-20 14:11:33.008200,Clear,191.0896666666667
Chennai,34,High,Project Manager,Entry-Level,11,1346238,672647,Diploma,"JavaScript, React",None,46,14,Day,No,Remote,Cognizant,Retail,Negative,0,Low,2809048,238870,Average,Mid-Level,Manager,Mumbai,No,Stock Options,Moderate,Stable,Low,2024-12-21 14:11:33.008200,Ambiguous,345.6349333333333
Mumbai,34,Medium,Data Scientist,Mid-Level,14,1899034,1878768,PhD,"JavaScript, React",None,52,2,Flexible,No,Remote,Accenture,Banking,Neutral,8,High,1708064,355773,Average,Mid-Level,Team Lead,Delhi,No,Flexible Hours,Excellent,Stable,Low,2024-12-22 14:11:33.008200,Clear,348.9354666666667
Chennai,21,High,Project Manager,Lead,12,832726,1965213,Master's Degree,"Python, SQL, ML",Scrum Master,70,5,Flexible,No,Remote,Accenture,Consulting,Neutral,3,Low,478947,277926,Above Average,Mid-Level,Manager,Munger,No,Health Insurance,Limited,Weak,Moderate,2024-12-08 14:11:33.008200,Clear,223.9649
Kolkata,27,Medium,Software Engineer,Entry-Level,10,1749796,1330370,Master's Degree,"Python, SQL, ML",AWS Certified,1,11,Night,No,Remote,Accenture,IT Services,Neutral,4,Low,2353980,76770,Average,Mid-Level,Developer,Mumbai,No,Stock Options,Moderate,Stable,High,2025-01-05 14:11:33.008200,Clear,344.466
Madanapalle,19,High,Software Engineer,Senior-Level,9,1096184,1088152,Master's Degree,"Java, Spring Boot",PMP,23,14,Flexible,Yes,Hybrid,Cognizant,Consulting,Positive,2,Moderate,2938361,67645,Above Average,Senior-Level,Developer,Hyderabad,No,Flexible Hours,Excellent,Strong,High,2025-01-05 14:11:33.008200,Ambiguous,459.9453666666667
Delhi,41,Low,Consultant,Senior-Level,2,1404002,802980,Bachelor's Degree,"AWS, Docker, Kubernetes",AWS Certified,3,5,Night,Yes,Remote,TCS,Banking,Positive,3,Low,2593648,113509,Average,Senior-Level,Manager,Bangalore,Yes,Flexible Hours,Moderate,Stable,High,2024-12-24 14:11:33.008200,Ambiguous,174.45493333333332
Mumbai,25,High,Consultant,Lead,6,539968,1438336,Bachelor's Degree,"Python, SQL, ML",Google Cloud Certified,18,12,Flexible,No,Offline,Cognizant,Banking,Neutral,7,High,2175373,240796,Below Average,Lead,Team Lead,Chennai,No,Flexible Hours,Limited,Stable,Moderate,2025-01-06 14:11:33.008200,Ambiguous,312.5124333333333
Munger,18,Low,Data Scientist,Senior-Level,4,588963,1568932,PhD,"Python, SQL, ML",AWS Certified,25,12,Day,No,Hybrid,Accenture,IT Services,Positive,3,High,1368410,435212,Below Average,Senior-Level,Data Analyst,Munger,No,Flexible Hours,Moderate,Stable,Moderate,2025-01-19 14:11:33.008200,Clear,329.61366666666663
Delhi,6,High,Analyst,Lead,14,795384,1980932,Master's Degree,"JavaScript, React",AWS Certified,74,2,Day,No,Offline,Infosys,Healthcare,Positive,8,High,2810912,301348,Above Average,Senior-Level,Manager,Pune,Yes,Stock Options,Moderate,Strong,High,2025-01-23 14:11:33.008200,Ambiguous,291.6970666666667
Madanapalle,15,Low,Project Manager,Senior-Level,4,1178483,1849087,Bachelor's Degree,"AWS, Docker, Kubernetes",None,39,2,Flexible,No,Remote,HCL,Healthcare,Negative,8,Low,2999087,27152,Above Average,Lead,Data Analyst,Hyderabad,Yes,Health Insurance,Moderate,Strong,Low,2024-12-19 14:11:33.008200,Ambiguous,279.96956666666665
Kolkata,43,High,Data Scientist,Mid-Level,5,821121,1337635,Master's Degree,"Java, Spring Boot",PMP,49,7,Flexible,No,Offline,Accenture,IT Services,Negative,5,Moderate,2867286,458402,Below Average,Senior-Level,Team Lead,Bangalore,No,Flexible Hours,Moderate,Strong,High,2024-12-26 14:11:33.008200,Ambiguous,369.5762
Kolkata,42,Low,Consultant,Entry-Level,12,1503865,1786689,Bachelor's Degree,"Python, SQL, ML",AWS Certified,42,7,Day,Yes,Remote,Infosys,Healthcare,Positive,1,High,1094934,248972,Below Average,Mid-Level,Data Analyst,Munger,Yes,Flexible Hours,Limited,Weak,Moderate,2025-01-24 14:11:33.008200,Ambiguous,52.4978
Munger,38,Medium,Project Manager,Mid-Level,3,1610077,1787784,Diploma,"AWS, Docker, Kubernetes",None,74,6,Flexible,Yes,Remote,TCS,Retail,Positive,9,Low,1440835,362699,Average,Entry-Level,Team Lead,Pune,No,Stock Options,Excellent,Weak,Low,2025-01-25 14:11:33.008200,Clear,292.0278333333333
Mumbai,42,Medium,Consultant,Entry-Level,14,819165,662093,Diploma,"AWS, Docker, Kubernetes",Scrum Master,66,9,Night,No,Hybrid,Accenture,Healthcare,Neutral,6,High,2278292,226096,Below Average,Entry-Level,Team Lead,Mumbai,Yes,Flexible Hours,Excellent,Strong,Low,2025-01-10 14:11:33.008200,Clear,241.94306666666665
Pune,38,Low,Project Manager,Entry-Level,1,519780,1759231,Master's Degree,"Java, Spring Boot",None,11,3,Night,Yes,Hybrid,Infosys,Healthcare,Positive,8,High,2832228,243731,Above Average,Lead,Developer,Hyderabad,Yes,Flexible Hours,Moderate,Weak,Moderate,2024-12-29 14:11:33.008200,Ambiguous,148.4076
Darbhanga,22,High,Analyst,Entry-Level,8,1643714,762462,PhD,"AWS, Docker, Kubernetes",None,66,14,Night,No,Remote,Accenture,Healthcare,Negative,5,Moderate,669482,291833,Below Average,Senior-Level,Developer,Kolkata,No,Health Insurance,Limited,Weak,Low,2025-01-17 14:11:33.008200,Clear,228.31606666666667
Mumbai,34,Low,Data Scientist,Mid-Level,5,1446332,2432714,Bachelor's Degree,"AWS, Docker, Kubernetes",None,26,3,Night,No,Hybrid,Cognizant,Retail,Positive,2,High,1592148,191762,Above Average,Senior-Level,Team Lead,Pune,Yes,Flexible Hours,Limited,Weak,High,2025-01-08 14:11:33.008200,Clear,85.07159999999999
Pune,19,High,Project Manager,Entry-Level,3,742632,1206242,Bachelor's Degree,"AWS, Docker, Kubernetes",AWS Certified,53,2,Night,No,Offline,Infosys,Healthcare,Neutral,6,Moderate,542617,497258,Above Average,Lead,Manager,Bangalore,No,Stock Options,Limited,Strong,Moderate,2025-01-13 14:11:33.008200,Clear,310.0872333333333
Kolkata,31,Medium,Software Engineer,Mid-Level,10,1227091,1697991,Diploma,"Python, SQL, ML",AWS Certified,65,4,Flexible,Yes,Hybrid,Cognizant,Retail,Negative,4,Low,1668962,355395,Average,Entry-Level,Developer,Kolkata,Yes,Health Insurance,Limited,Stable,Moderate,2025-01-10 14:11:33.008200,Clear,133.63206666666667
Chennai,38,High,Software Engineer,Lead,14,1327557,1490445,Diploma,"Java, Spring Boot",Scrum Master,48,2,Flexible,Yes,Hybrid,Cognizant,IT Services,Negative,0,High,1340325,198392,Average,Mid-Level,Team Lead,Kolkata,Yes,Stock Options,Limited,Strong,Moderate,2025-01-11 14:11:33.008200,Clear,148.6775
Madanapalle,42,Medium,Project Manager,Senior-Level,7,1444241,2214188,PhD,"AWS, Docker, Kubernetes",Google Cloud Certified,15,12,Night,No,Offline,Infosys,Consulting,Negative,2,Low,2501847,467442,Average,Senior-Level,Data Analyst,Madanapalle,Yes,Health Insurance,Limited,Strong,Moderate,2024-12-26 14:11:33.008200,Ambiguous,179.3949
Munger,37,High,Project Manager,Senior-Level,7,1510578,618401,PhD,"AWS, Docker, Kubernetes",Google Cloud Certified,1,7,Flexible,Yes,Hybrid,HCL,IT Services,Negative,4,Low,1132426,197163,Average,Lead,Data Analyst,Bangalore,No,Health Insurance,Moderate,Weak,Low,2024-12-09 14:11:33.008200,Clear,243.74753333333334
Madanapalle,28,High,Project Manager,Entry-Level,1,1610267,1385132,PhD,"Python, SQL, ML",Google Cloud Certified,59,6,Flexible,Yes,Remote,Infosys,Consulting,Positive,6,Low,1430120,378709,Below Average,Mid-Level,Manager,Kolkata,No,Flexible Hours,Excellent,Weak,Moderate,2024-12-14 14:11:33.008200,Ambiguous,311.67066666666665
Bangalore,19,High,Software Engineer,Mid-Level,12,1954699,559292,Master's Degree,"Java, Spring Boot",Scrum Master,53,12,Night,No,Offline,HCL,IT Services,Neutral,2,High,1434780,482517,Average,Lead,Data Analyst,Mumbai,Yes,Flexible Hours,Excellent,Stable,Moderate,2025-01-15 14:11:33.008200,Ambiguous,219.826
Bangalore,34,Low,Software Engineer,Senior-Level,9,1470808,1925842,Diploma,"JavaScript, React",Google Cloud Certified,29,2,Flexible,Yes,Remote,Accenture,Consulting,Positive,5,Moderate,1864123,425158,Below Average,Lead,Data Analyst,Hyderabad,No,Flexible Hours,Moderate,Stable,Low,2025-01-07 14:11:33.008200,Ambiguous,314.1374333333333
Mumbai,46,Low,Project Manager,Mid-Level,2,1793934,896762,Master's Degree,"Python, SQL, ML",Google Cloud Certified,83,8,Flexible,Yes,Offline,Accenture,Consulting,Positive,4,High,1832002,48712,Average,Lead,Team Lead,Hyderabad,No,Stock Options,Excellent,Stable,Moderate,2025-01-04 14:11:33.008200,Clear,329.06673333333333
